name,address,lat,long
Gourmet Shop,"[48 Highfield Rd, Terenure, Dublin 6, Ireland]",53.3118401,-6.2743402
Griffins Londis,"[New Street South, Cork Street, Dublin 8, Ireland]",53.33733734,-6.272796392
SuperValu,"[Main Street, Blessington, Blessington, Co. Wicklow, Ireland]",53.17201951,-6.530706882
LiDL,"[Greenhills Road, Walkinstown, Ballymount, Dublin 12, Ireland]",53.3019104,-6.3523998
Liberty Market,"[71 Meath Street, The Liberties, Dublin 8, Ireland]",53.3411,-6.27852
Spar,"[Rockville Road, Newtownpark Avenue, Blackrock, Blackrock, Co. Dublin, Ireland]",53.2905388,-6.1714802
Centra,"[177 Kimmage Road Lower, Kimmage, Ballycullen, Ballyboden, Dublin 6w, Ireland]",53.3193207,-6.2911801
Centra,"[23/27 Annesley Bridge, Fairview, Marino, Dublin 3, Ireland]",53.3622894,-6.2374401
Elit,"[29 Lower Liffey Street, North Inner City, Dublin 1, Ireland]",53.34806824,-6.248270035
Fruit World,"[Kilmacud Rd, Stillorgan, Stillorgan, Stillorgan, Co. Dublin, Ireland]",53.2847786,-6.2157698
Rushe's Eurospar Killiney,"[Rochestown avenue, Glenageary, Killiney, Co. Dublin, Ireland]",53.26314926,-6.115280151
Tesco,"[Phibsborough Rd, Broadstone, Dublin 7, Ireland]",53.3555079,-6.273515224
Dunnes Stores,"[Ongar Village, Clonee, Clonsilla, Clonee, Co. Meath, Ireland]",53.39568207,-6.439670015
Nam Thanh Vietnamese Supermarket,"[Parnell Street, Rotunda, Dublin 1, Ireland]",53.353921,-6.258162
Al Auras Shop,"[16 N Frederick St, Rotunda, Dublin 1, Ireland]",53.3555107,-6.2636499
Little Italy Ltd,"[139a/140 King Street N, Smithfield, Dublin 7, Ireland]",53.34806824,-6.248270035
Slovak Point,"[42 Arran Quay, Smithfield, Dublin 7, Ireland]",53.3466911,-6.2800999
Bus Stop Newsagents,"[52 Grafton Street, South Inner City, Dublin 2, Ireland]",53.34011354,-6.260848524
Super Valu,"[167 Housewth Road, North Inner City, Dublin 3, Ireland]",53.34806824,-6.248270035
Tesco,"[Phibsboro Shopping Centre, Phibsboro, Dublin 7, Ireland]",53.3612,-6.27273
Supervalu,"[Churchtown, Dundrum, Dublin 14, Ireland]",53.29773,-6.25872
The Spice of Life,"[Moore Street, North Inner City, Dublin 1, Ireland]",53.3505211,-6.2628198
Centra,"[4-6 North King Street, Bolton Street, Dublin 6w, Ireland]",53.3507118,-6.270977
Halal Food & Grocery,"[39-41 Fonthill Business Park, Unit 2, Lucan, Dublin 22, Ireland]",53.34806824,-6.248270035
Lidl Supermarket,"[Pottery Rd, Deansgrange, Dun Laoghaire, Co. Dublin, Ireland]",53.2735818,-6.1536151
Superquinn,"[Northside, Kilmore, Coolock, Dublin 17, Ireland]",53.39299011,-6.214759827
The Green Grocer,"[30 Stoneybatter, Dublin 7, Stoneybatter, Dublin, Ireland]",53.35076085,-6.282304527
